,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x24,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,DUMP.CCP.SH.PARAM74,uint8_t,ccp_dump->dump.ccp.packet[89],PACKET,131,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM75,uint8_t,ccp_dump->dump.ccp.packet[90],PACKET,132,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM76,uint8_t,ccp_dump->dump.ccp.packet[91],PACKET,133,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM77,uint8_t,ccp_dump->dump.ccp.packet[92],PACKET,134,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM78,uint8_t,ccp_dump->dump.ccp.packet[93],PACKET,135,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM79,uint8_t,ccp_dump->dump.ccp.packet[94],PACKET,136,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM80,uint8_t,ccp_dump->dump.ccp.packet[95],PACKET,137,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM81,uint8_t,ccp_dump->dump.ccp.packet[96],PACKET,138,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM82,uint8_t,ccp_dump->dump.ccp.packet[97],PACKET,139,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM83,uint8_t,ccp_dump->dump.ccp.packet[98],PACKET,140,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM84,uint8_t,ccp_dump->dump.ccp.packet[99],PACKET,141,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM85,uint8_t,ccp_dump->dump.ccp.packet[100],PACKET,142,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM86,uint8_t,ccp_dump->dump.ccp.packet[101],PACKET,143,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM87,uint8_t,ccp_dump->dump.ccp.packet[102],PACKET,144,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM88,uint8_t,ccp_dump->dump.ccp.packet[103],PACKET,145,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM89,uint8_t,ccp_dump->dump.ccp.packet[104],PACKET,146,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM90,uint8_t,ccp_dump->dump.ccp.packet[105],PACKET,147,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM91,uint8_t,ccp_dump->dump.ccp.packet[106],PACKET,148,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM92,uint8_t,ccp_dump->dump.ccp.packet[107],PACKET,149,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM93,uint8_t,ccp_dump->dump.ccp.packet[108],PACKET,150,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM94,uint8_t,ccp_dump->dump.ccp.packet[109],PACKET,151,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM95,uint8_t,ccp_dump->dump.ccp.packet[110],PACKET,152,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM96,uint8_t,ccp_dump->dump.ccp.packet[111],PACKET,153,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM97,uint8_t,ccp_dump->dump.ccp.packet[112],PACKET,154,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM98,uint8_t,ccp_dump->dump.ccp.packet[113],PACKET,155,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM99,uint8_t,ccp_dump->dump.ccp.packet[114],PACKET,156,0,8,HEX,,,,,,,,,
